序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
2621440,接收,16:29:04.866.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0F 00 12 05 32 ,
2621441,接收,16:29:04.866.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 07 00 12 05 32 ,
2621442,接收,16:29:04.882.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FF 00 12 05 32 ,
2621443,接收,16:29:04.898.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FA 00 12 05 32 ,
2621444,接收,16:29:04.898.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FC 00 12 05 32 ,
2621445,接收,16:29:04.913.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FB 00 12 05 32 ,
2621446,接收,16:29:04.929.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F7 00 12 05 32 ,
2621447,接收,16:29:04.929.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F4 00 12 05 32 ,
2621448,接收,16:29:04.945.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F7 00 12 05 32 ,
2621449,接收,16:29:04.945.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FA 00 12 05 32 ,
2621450,接收,16:29:04.961.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621451,接收,16:29:04.976.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F6 00 12 05 32 ,
2621452,接收,16:29:04.976.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621453,接收,16:29:04.993.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 02 00 12 05 32 ,
2621454,接收,16:29:05.008.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 10 00 12 05 32 ,
2621455,接收,16:29:05.008.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 17 00 12 05 32 ,
2621456,接收,16:29:05.024.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 19 00 12 05 32 ,
2621457,接收,16:29:05.024.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 18 00 12 05 32 ,
2621458,接收,16:29:05.039.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 18 00 12 05 32 ,
2621459,接收,16:29:05.055.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 1E 00 12 05 32 ,
2621460,接收,16:29:05.055.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 25 00 12 05 32 ,
2621461,接收,16:29:05.071.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 2C 00 12 05 32 ,
2621462,接收,16:29:05.086.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 2A 00 12 05 32 ,
2621463,接收,16:29:05.086.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 24 00 12 05 32 ,
2621464,接收,16:29:05.102.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 21 00 12 05 32 ,
2621465,接收,16:29:05.118.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 21 00 12 05 32 ,
2621466,接收,16:29:05.118.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 21 00 12 05 32 ,
2621467,接收,16:29:05.134.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 1F 00 12 05 32 ,
2621468,接收,16:29:05.134.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 22 00 12 05 32 ,
2621469,接收,16:29:05.150.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 25 00 12 05 32 ,
2621470,接收,16:29:05.165.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 27 00 12 05 32 ,
2621471,接收,16:29:05.165.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 20 00 12 05 32 ,
2621472,接收,16:29:05.180.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 15 00 12 05 32 ,
2621473,接收,16:29:05.196.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0F 00 12 05 32 ,
2621474,接收,16:29:05.196.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 11 00 12 05 32 ,
2621475,接收,16:29:05.211.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 13 00 12 05 32 ,
2621476,接收,16:29:05.227.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 14 00 12 05 32 ,
2621477,接收,16:29:05.227.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 15 00 12 05 32 ,
2621478,接收,16:29:05.242.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 14 00 12 05 32 ,
2621479,接收,16:29:05.257.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0E 00 12 05 32 ,
2621480,接收,16:29:05.257.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0C 00 12 05 32 ,
2621481,接收,16:29:05.273.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 15 00 12 05 32 ,
2621482,接收,16:29:05.273.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 1D 00 12 05 32 ,
2621483,接收,16:29:05.289.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 21 00 12 05 32 ,
2621484,接收,16:29:05.304.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 1D 00 12 05 32 ,
2621485,接收,16:29:05.304.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 19 00 12 05 32 ,
2621486,接收,16:29:05.319.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 17 00 12 05 32 ,
2621487,接收,16:29:05.335.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 17 00 12 05 32 ,
2621488,接收,16:29:05.335.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 16 00 12 05 32 ,
2621489,接收,16:29:05.351.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 18 00 12 05 32 ,
2621490,接收,16:29:05.366.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 1C 00 12 05 32 ,
2621491,接收,16:29:05.366.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 1C 00 12 05 32 ,
2621492,接收,16:29:05.382.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 14 00 12 05 32 ,
2621493,接收,16:29:05.397.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0D 00 12 05 32 ,
2621494,接收,16:29:05.397.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 06 00 12 05 32 ,
2621495,接收,16:29:05.413.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FE 00 12 05 32 ,
2621496,接收,16:29:05.413.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621497,接收,16:29:05.429.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FA 00 12 05 32 ,
