序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
851968,接收,12:15:23.640.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 E3 00 12 05 32 ,
851969,接收,12:15:23.654.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 E7 00 12 05 32 ,
851970,接收,12:15:23.670.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 E1 00 12 05 32 ,
851971,接收,12:15:23.670.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D6 00 12 05 32 ,
851972,接收,12:15:23.685.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C7 00 12 05 32 ,
851973,接收,12:15:23.701.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C0 00 12 05 32 ,
851974,接收,12:15:23.701.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BF 00 12 05 32 ,
851975,接收,12:15:23.717.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C2 00 12 05 32 ,
851976,接收,12:15:23.718.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C9 00 12 05 32 ,
851977,接收,12:15:23.733.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D3 00 12 05 32 ,
851978,接收,12:15:23.749.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D9 00 12 05 32 ,
851979,接收,12:15:23.749.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D4 00 12 05 32 ,
851980,接收,12:15:23.764.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C8 00 12 05 32 ,
851981,接收,12:15:23.780.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BD 00 12 05 32 ,
851982,接收,12:15:23.780.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BC 00 12 05 32 ,
851983,接收,12:15:23.797.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C1 00 12 05 32 ,
851984,接收,12:15:23.797.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C2 00 12 05 32 ,
851985,接收,12:15:23.813.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BD 00 12 05 32 ,
851986,接收,12:15:23.828.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BE 00 12 05 32 ,
851987,接收,12:15:23.828.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C4 00 12 05 32 ,
851988,接收,12:15:23.844.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
851989,接收,12:15:23.859.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D2 00 12 05 32 ,
851990,接收,12:15:23.859.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D5 00 12 05 32 ,
851991,接收,12:15:23.875.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D7 00 12 05 32 ,
851992,接收,12:15:23.891.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 DB 00 12 05 32 ,
851993,接收,12:15:23.891.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 DF 00 12 05 32 ,
851994,接收,12:15:23.907.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 E0 00 12 05 32 ,
851995,接收,12:15:23.907.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 DC 00 12 05 32 ,
851996,接收,12:15:23.923.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D9 00 12 05 32 ,
851997,接收,12:15:23.938.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D9 00 12 05 32 ,
851998,接收,12:15:23.938.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 DA 00 12 05 32 ,
851999,接收,12:15:23.954.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D7 00 12 05 32 ,
852000,接收,12:15:23.970.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D2 00 12 05 32 ,
852001,接收,12:15:23.970.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D1 00 12 05 32 ,
852002,接收,12:15:23.985.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D9 00 12 05 32 ,
852003,接收,12:15:24.000.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 E4 00 12 05 32 ,
852004,接收,12:15:24.000.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 E4 00 12 05 32 ,
852005,接收,12:15:24.017.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 DE 00 12 05 32 ,
852006,接收,12:15:24.017.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D5 00 12 05 32 ,
852007,接收,12:15:24.033.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D3 00 12 05 32 ,
852008,接收,12:15:24.048.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D3 00 12 05 32 ,
852009,接收,12:15:24.048.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D2 00 12 05 32 ,
852010,接收,12:15:24.064.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CF 00 12 05 32 ,
852011,接收,12:15:24.080.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CA 00 12 05 32 ,
852012,接收,12:15:24.080.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C4 00 12 05 32 ,
852013,接收,12:15:24.095.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BF 00 12 05 32 ,
852014,接收,12:15:24.095.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BD 00 12 05 32 ,
852015,接收,12:15:24.111.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B5 00 12 05 32 ,
852016,接收,12:15:24.126.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AE 00 12 05 32 ,
852017,接收,12:15:24.126.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AB 00 12 05 32 ,
852018,接收,12:15:24.142.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B0 00 12 05 32 ,
852019,接收,12:15:24.158.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BB 00 12 05 32 ,
852020,接收,12:15:24.158.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C4 00 12 05 32 ,
852021,接收,12:15:24.173.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CB 00 12 05 32 ,
852022,接收,12:15:24.188.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852023,接收,12:15:24.188.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CF 00 12 05 32 ,
852024,接收,12:15:24.204.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D0 00 12 05 32 ,
852025,接收,12:15:24.220.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CF 00 12 05 32 ,
852026,接收,12:15:24.220.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852027,接收,12:15:24.236.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852028,接收,12:15:24.236.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D0 00 12 05 32 ,
852029,接收,12:15:24.252.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D0 00 12 05 32 ,
852030,接收,12:15:24.267.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CF 00 12 05 32 ,
852031,接收,12:15:24.267.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CA 00 12 05 32 ,
852032,接收,12:15:24.283.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C0 00 12 05 32 ,
852033,接收,12:15:24.298.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B6 00 12 05 32 ,
852034,接收,12:15:24.298.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B2 00 12 05 32 ,
852035,接收,12:15:24.314.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B7 00 12 05 32 ,
852036,接收,12:15:24.330.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BB 00 12 05 32 ,
852037,接收,12:15:24.330.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BF 00 12 05 32 ,
852038,接收,12:15:24.346.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BE 00 12 05 32 ,
852039,接收,12:15:24.346.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BE 00 12 05 32 ,
852040,接收,12:15:24.362.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BD 00 12 05 32 ,
852041,接收,12:15:24.377.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BA 00 12 05 32 ,
852042,接收,12:15:24.377.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B2 00 12 05 32 ,
852043,接收,12:15:24.394.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AD 00 12 05 32 ,
852044,接收,12:15:24.409.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B1 00 12 05 32 ,
852045,接收,12:15:24.409.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B7 00 12 05 32 ,
852046,接收,12:15:24.424.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BB 00 12 05 32 ,
852047,接收,12:15:24.424.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B9 00 12 05 32 ,
852048,接收,12:15:24.440.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BC 00 12 05 32 ,
852049,接收,12:15:24.455.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CB 00 12 05 32 ,
852050,接收,12:15:24.455.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D6 00 12 05 32 ,
852051,接收,12:15:24.471.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D7 00 12 05 32 ,
852052,接收,12:15:24.486.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852053,接收,12:15:24.486.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C4 00 12 05 32 ,
852054,接收,12:15:24.502.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C5 00 12 05 32 ,
852055,接收,12:15:24.518.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CF 00 12 05 32 ,
852056,接收,12:15:24.518.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D6 00 12 05 32 ,
852057,接收,12:15:24.533.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D9 00 12 05 32 ,
852058,接收,12:15:24.550.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D2 00 12 05 32 ,
852059,接收,12:15:24.550.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C6 00 12 05 32 ,
852060,接收,12:15:24.565.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B8 00 12 05 32 ,
852061,接收,12:15:24.565.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B7 00 12 05 32 ,
852062,接收,12:15:24.580.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C3 00 12 05 32 ,
852063,接收,12:15:24.596.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CE 00 12 05 32 ,
852064,接收,12:15:24.596.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D3 00 12 05 32 ,
852065,接收,12:15:24.612.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D1 00 12 05 32 ,
852066,接收,12:15:24.627.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C8 00 12 05 32 ,
852067,接收,12:15:24.627.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BC 00 12 05 32 ,
852068,接收,12:15:24.643.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B0 00 12 05 32 ,
852069,接收,12:15:24.658.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A3 00 12 05 32 ,
852070,接收,12:15:24.658.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 9E 00 12 05 32 ,
852071,接收,12:15:24.675.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 9E 00 12 05 32 ,
852072,接收,12:15:24.675.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 9F 00 12 05 32 ,
852073,接收,12:15:24.691.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 9B 00 12 05 32 ,
852074,接收,12:15:24.706.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 9A 00 12 05 32 ,
852075,接收,12:15:24.706.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A3 00 12 05 32 ,
852076,接收,12:15:24.721.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AE 00 12 05 32 ,
852077,接收,12:15:24.737.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AF 00 12 05 32 ,
852078,接收,12:15:24.737.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A6 00 12 05 32 ,
852079,接收,12:15:24.754.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A3 00 12 05 32 ,
852080,接收,12:15:24.754.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A5 00 12 05 32 ,
852081,接收,12:15:24.769.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A9 00 12 05 32 ,
852082,接收,12:15:24.784.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AE 00 12 05 32 ,
852083,接收,12:15:24.784.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B4 00 12 05 32 ,
852084,接收,12:15:24.800.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BD 00 12 05 32 ,
852085,接收,12:15:24.816.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C5 00 12 05 32 ,
852086,接收,12:15:24.816.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CA 00 12 05 32 ,
852087,接收,12:15:24.831.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852088,接收,12:15:24.847.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852089,接收,12:15:24.847.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C7 00 12 05 32 ,
852090,接收,12:15:24.862.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C2 00 12 05 32 ,
852091,接收,12:15:24.878.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C1 00 12 05 32 ,
852092,接收,12:15:24.878.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C3 00 12 05 32 ,
852093,接收,12:15:24.894.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C5 00 12 05 32 ,
852094,接收,12:15:24.894.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C9 00 12 05 32 ,
852095,接收,12:15:24.910.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D0 00 12 05 32 ,
852096,接收,12:15:24.926.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D8 00 12 05 32 ,
852097,接收,12:15:24.926.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D8 00 12 05 32 ,
852098,接收,12:15:24.942.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CF 00 12 05 32 ,
852099,接收,12:15:24.958.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C6 00 12 05 32 ,
852100,接收,12:15:24.958.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C4 00 12 05 32 ,
852101,接收,12:15:24.973.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CB 00 12 05 32 ,
852102,接收,12:15:24.973.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D4 00 12 05 32 ,
852103,接收,12:15:24.988.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D0 00 12 05 32 ,
852104,接收,12:15:25.004.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CA 00 12 05 32 ,
852105,接收,12:15:25.004.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C7 00 12 05 32 ,
852106,接收,12:15:25.019.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C7 00 12 05 32 ,
852107,接收,12:15:25.036.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C3 00 12 05 32 ,
852108,接收,12:15:25.036.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BC 00 12 05 32 ,
852109,接收,12:15:25.050.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B5 00 12 05 32 ,
852110,接收,12:15:25.066.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B6 00 12 05 32 ,
852111,接收,12:15:25.066.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BC 00 12 05 32 ,
852112,接收,12:15:25.082.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BE 00 12 05 32 ,
852113,接收,12:15:25.082.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BB 00 12 05 32 ,
852114,接收,12:15:25.098.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B8 00 12 05 32 ,
852115,接收,12:15:25.114.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BC 00 12 05 32 ,
852116,接收,12:15:25.114.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C8 00 12 05 32 ,
852117,接收,12:15:25.130.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D0 00 12 05 32 ,
852118,接收,12:15:25.146.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 D3 00 12 05 32 ,
852119,接收,12:15:25.146.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CD 00 12 05 32 ,
852120,接收,12:15:25.162.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C3 00 12 05 32 ,
852121,接收,12:15:25.162.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B8 00 12 05 32 ,
852122,接收,12:15:25.177.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AF 00 12 05 32 ,
852123,接收,12:15:25.193.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A6 00 12 05 32 ,
852124,接收,12:15:25.193.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 A5 00 12 05 32 ,
852125,接收,12:15:25.208.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AA 00 12 05 32 ,
852126,接收,12:15:25.224.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B2 00 12 05 32 ,
852127,接收,12:15:25.224.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BB 00 12 05 32 ,
852128,接收,12:15:25.239.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C2 00 12 05 32 ,
852129,接收,12:15:25.255.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C6 00 12 05 32 ,
852130,接收,12:15:25.255.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C5 00 12 05 32 ,
852131,接收,12:15:25.271.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C3 00 12 05 32 ,
852132,接收,12:15:25.286.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C2 00 12 05 32 ,
852133,接收,12:15:25.286.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C3 00 12 05 32 ,
852134,接收,12:15:25.301.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C0 00 12 05 32 ,
852135,接收,12:15:25.301.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C0 00 12 05 32 ,
852136,接收,12:15:25.317.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C6 00 12 05 32 ,
852137,接收,12:15:25.333.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 CC 00 12 05 32 ,
852138,接收,12:15:25.333.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 C9 00 12 05 32 ,
852139,接收,12:15:25.349.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 BE 00 12 05 32 ,
852140,接收,12:15:25.364.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B1 00 12 05 32 ,
852141,接收,12:15:25.364.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 AF 00 12 05 32 ,
852142,接收,12:15:25.380.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B4 00 12 05 32 ,
852143,接收,12:15:25.395.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B8 00 12 05 32 ,
852144,接收,12:15:25.395.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B7 00 12 05 32 ,
852145,接收,12:15:25.411.0,0x000003c2,标准帧,数据帧,0x08,7F FF 84 B6 00 12 05 32 ,
