序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
524288,接收,15:18:58.884.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524289,接收,15:18:58.884.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524290,接收,15:18:58.900.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524291,接收,15:18:58.916.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524292,接收,15:18:58.916.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524293,接收,15:18:58.932.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524294,接收,15:18:58.948.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524295,接收,15:18:58.948.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524296,接收,15:18:58.962.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524297,接收,15:18:58.978.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524298,接收,15:18:58.978.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524299,接收,15:18:58.994.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524300,接收,15:18:58.994.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524301,接收,15:18:59.009.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524302,接收,15:18:59.024.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524303,接收,15:18:59.024.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524304,接收,15:18:59.040.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524305,接收,15:18:59.055.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524306,接收,15:18:59.055.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524307,接收,15:18:59.071.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524308,接收,15:18:59.086.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524309,接收,15:18:59.086.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524310,接收,15:18:59.102.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524311,接收,15:18:59.118.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524312,接收,15:18:59.118.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524313,接收,15:18:59.134.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524314,接收,15:18:59.134.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
