序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
3604480,接收,19:26:46.903.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 00 00 12 05 32 ,
3604481,接收,19:26:46.917.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 F3 00 12 05 32 ,
3604482,接收,19:26:46.934.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 D9 00 12 05 32 ,
3604483,接收,19:26:46.934.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 BF 00 12 05 32 ,
3604484,接收,19:26:46.948.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 C3 00 12 05 32 ,
3604485,接收,19:26:46.964.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CF 00 12 05 32 ,
3604486,接收,19:26:46.964.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 D0 00 12 05 32 ,
3604487,接收,19:26:46.980.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 E1 00 12 05 32 ,
3604488,接收,19:26:46.996.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 17 00 12 05 32 ,
3604489,接收,19:26:46.996.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 48 00 12 05 32 ,
3604490,接收,19:26:47.013.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 6D 00 12 05 32 ,
3604491,接收,19:26:47.013.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 7E 00 12 05 32 ,
3604492,接收,19:26:47.028.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 9C 00 12 05 32 ,
3604493,接收,19:26:47.043.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 B8 00 12 05 32 ,
3604494,接收,19:26:47.043.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 BA 00 12 05 32 ,
3604495,接收,19:26:47.059.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 9F 00 12 05 32 ,
3604496,接收,19:26:47.075.0,0x000003c2,标准帧,数据帧,0x08,7F FF D5 67 00 12 05 32 ,
