序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1900544,接收,15:43:07.121.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3A 00 12 05 32 ,
1900545,接收,15:43:07.121.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 37 00 12 05 32 ,
1900546,接收,15:43:07.137.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 37 00 12 05 32 ,
1900547,接收,15:43:07.153.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 38 00 12 05 32 ,
1900548,接收,15:43:07.153.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3B 00 12 05 32 ,
1900549,接收,15:43:07.169.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3E 00 12 05 32 ,
1900550,接收,15:43:07.169.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3E 00 12 05 32 ,
1900551,接收,15:43:07.185.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3C 00 12 05 32 ,
1900552,接收,15:43:07.201.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3C 00 12 05 32 ,
1900553,接收,15:43:07.201.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3F 00 12 05 32 ,
1900554,接收,15:43:07.217.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 42 00 12 05 32 ,
1900555,接收,15:43:07.233.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 46 00 12 05 32 ,
1900556,接收,15:43:07.233.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900557,接收,15:43:07.248.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4D 00 12 05 32 ,
1900558,接收,15:43:07.264.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4D 00 12 05 32 ,
1900559,接收,15:43:07.264.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4A 00 12 05 32 ,
1900560,接收,15:43:07.280.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 41 00 12 05 32 ,
1900561,接收,15:43:07.280.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 39 00 12 05 32 ,
1900562,接收,15:43:07.295.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 39 00 12 05 32 ,
1900563,接收,15:43:07.311.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 41 00 12 05 32 ,
1900564,接收,15:43:07.311.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900565,接收,15:43:07.327.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 55 00 12 05 32 ,
1900566,接收,15:43:07.342.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 5B 00 12 05 32 ,
1900567,接收,15:43:07.342.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 60 00 12 05 32 ,
1900568,接收,15:43:07.357.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 62 00 12 05 32 ,
1900569,接收,15:43:07.373.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 64 00 12 05 32 ,
1900570,接收,15:43:07.373.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 64 00 12 05 32 ,
1900571,接收,15:43:07.388.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 5F 00 12 05 32 ,
1900572,接收,15:43:07.388.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 54 00 12 05 32 ,
1900573,接收,15:43:07.403.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4D 00 12 05 32 ,
1900574,接收,15:43:07.420.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900575,接收,15:43:07.420.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4D 00 12 05 32 ,
1900576,接收,15:43:07.436.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 54 00 12 05 32 ,
1900577,接收,15:43:07.452.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 5B 00 12 05 32 ,
1900578,接收,15:43:07.452.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 5F 00 12 05 32 ,
1900579,接收,15:43:07.467.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 5B 00 12 05 32 ,
1900580,接收,15:43:07.481.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 56 00 12 05 32 ,
1900581,接收,15:43:07.481.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4E 00 12 05 32 ,
1900582,接收,15:43:07.498.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 47 00 12 05 32 ,
1900583,接收,15:43:07.498.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 43 00 12 05 32 ,
1900584,接收,15:43:07.514.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 43 00 12 05 32 ,
1900585,接收,15:43:07.530.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 42 00 12 05 32 ,
1900586,接收,15:43:07.530.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 43 00 12 05 32 ,
1900587,接收,15:43:07.545.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 44 00 12 05 32 ,
1900588,接收,15:43:07.561.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 47 00 12 05 32 ,
1900589,接收,15:43:07.561.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900590,接收,15:43:07.577.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4F 00 12 05 32 ,
1900591,接收,15:43:07.593.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 53 00 12 05 32 ,
1900592,接收,15:43:07.593.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 54 00 12 05 32 ,
1900593,接收,15:43:07.609.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 52 00 12 05 32 ,
1900594,接收,15:43:07.609.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900595,接收,15:43:07.624.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 45 00 12 05 32 ,
1900596,接收,15:43:07.639.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 42 00 12 05 32 ,
1900597,接收,15:43:07.639.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 43 00 12 05 32 ,
1900598,接收,15:43:07.654.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 42 00 12 05 32 ,
1900599,接收,15:43:07.669.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3B 00 12 05 32 ,
1900600,接收,15:43:07.669.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 36 00 12 05 32 ,
1900601,接收,15:43:07.685.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 32 00 12 05 32 ,
1900602,接收,15:43:07.701.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 31 00 12 05 32 ,
1900603,接收,15:43:07.701.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 33 00 12 05 32 ,
1900604,接收,15:43:07.717.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 38 00 12 05 32 ,
1900605,接收,15:43:07.717.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3F 00 12 05 32 ,
1900606,接收,15:43:07.733.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 44 00 12 05 32 ,
1900607,接收,15:43:07.749.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 44 00 12 05 32 ,
1900608,接收,15:43:07.749.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3D 00 12 05 32 ,
1900609,接收,15:43:07.764.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 37 00 12 05 32 ,
1900610,接收,15:43:07.780.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 36 00 12 05 32 ,
1900611,接收,15:43:07.780.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 38 00 12 05 32 ,
1900612,接收,15:43:07.795.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3B 00 12 05 32 ,
1900613,接收,15:43:07.810.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 40 00 12 05 32 ,
1900614,接收,15:43:07.810.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 47 00 12 05 32 ,
1900615,接收,15:43:07.827.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900616,接收,15:43:07.827.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4B 00 12 05 32 ,
1900617,接收,15:43:07.842.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4C 00 12 05 32 ,
1900618,接收,15:43:07.858.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4C 00 12 05 32 ,
1900619,接收,15:43:07.858.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 48 00 12 05 32 ,
1900620,接收,15:43:07.873.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 45 00 12 05 32 ,
1900621,接收,15:43:07.889.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 40 00 12 05 32 ,
1900622,接收,15:43:07.889.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3C 00 12 05 32 ,
1900623,接收,15:43:07.905.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 37 00 12 05 32 ,
1900624,接收,15:43:07.921.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 38 00 12 05 32 ,
1900625,接收,15:43:07.921.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 3E 00 12 05 32 ,
1900626,接收,15:43:07.935.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 46 00 12 05 32 ,
1900627,接收,15:43:07.951.0,0x000003c2,标准帧,数据帧,0x08,80 00 48 4D 00 12 05 32 ,
