序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1703936,接收,16:36:54.659.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 87 00 12 05 32 ,
1703937,接收,16:36:54.674.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 83 00 12 05 32 ,
1703938,接收,16:36:54.674.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 7F 00 12 05 32 ,
1703939,接收,16:36:54.691.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 73 00 12 05 32 ,
1703940,接收,16:36:54.706.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 6A 00 12 05 32 ,
1703941,接收,16:36:54.706.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 66 00 12 05 32 ,
1703942,接收,16:36:54.722.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 67 00 12 05 32 ,
1703943,接收,16:36:54.722.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 69 00 12 05 32 ,
1703944,接收,16:36:54.738.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 6A 00 12 05 32 ,
1703945,接收,16:36:54.754.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 6E 00 12 05 32 ,
1703946,接收,16:36:54.754.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 76 00 12 05 32 ,
1703947,接收,16:36:54.769.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 80 00 12 05 32 ,
1703948,接收,16:36:54.785.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8A 00 12 05 32 ,
1703949,接收,16:36:54.785.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8C 00 12 05 32 ,
1703950,接收,16:36:54.801.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 87 00 12 05 32 ,
1703951,接收,16:36:54.817.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 82 00 12 05 32 ,
1703952,接收,16:36:54.817.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 80 00 12 05 32 ,
1703953,接收,16:36:54.832.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 82 00 12 05 32 ,
1703954,接收,16:36:54.832.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 88 00 12 05 32 ,
1703955,接收,16:36:54.847.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8A 00 12 05 32 ,
1703956,接收,16:36:54.864.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 85 00 12 05 32 ,
1703957,接收,16:36:54.864.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 79 00 12 05 32 ,
1703958,接收,16:36:54.879.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 70 00 12 05 32 ,
1703959,接收,16:36:54.895.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 69 00 12 05 32 ,
1703960,接收,16:36:54.895.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 6A 00 12 05 32 ,
1703961,接收,16:36:54.911.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 71 00 12 05 32 ,
1703962,接收,16:36:54.912.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 79 00 12 05 32 ,
1703963,接收,16:36:54.926.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 83 00 12 05 32 ,
1703964,接收,16:36:54.941.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8A 00 12 05 32 ,
1703965,接收,16:36:54.941.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8C 00 12 05 32 ,
1703966,接收,16:36:54.957.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 89 00 12 05 32 ,
1703967,接收,16:36:54.973.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 83 00 12 05 32 ,
1703968,接收,16:36:54.973.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 82 00 12 05 32 ,
1703969,接收,16:36:54.989.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 87 00 12 05 32 ,
1703970,接收,16:36:55.004.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 91 00 12 05 32 ,
1703971,接收,16:36:55.004.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 95 00 12 05 32 ,
1703972,接收,16:36:55.020.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 97 00 12 05 32 ,
1703973,接收,16:36:55.036.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 98 00 12 05 32 ,
1703974,接收,16:36:55.036.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 9A 00 12 05 32 ,
1703975,接收,16:36:55.052.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 9E 00 12 05 32 ,
1703976,接收,16:36:55.052.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 9E 00 12 05 32 ,
1703977,接收,16:36:55.067.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 99 00 12 05 32 ,
1703978,接收,16:36:55.083.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 95 00 12 05 32 ,
1703979,接收,16:36:55.083.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 98 00 12 05 32 ,
1703980,接收,16:36:55.099.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC A0 00 12 05 32 ,
1703981,接收,16:36:55.116.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC AE 00 12 05 32 ,
1703982,接收,16:36:55.116.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC BA 00 12 05 32 ,
1703983,接收,16:36:55.131.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC BD 00 12 05 32 ,
1703984,接收,16:36:55.131.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC B7 00 12 05 32 ,
1703985,接收,16:36:55.146.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC AA 00 12 05 32 ,
1703986,接收,16:36:55.161.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 98 00 12 05 32 ,
1703987,接收,16:36:55.161.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8F 00 12 05 32 ,
1703988,接收,16:36:55.177.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8E 00 12 05 32 ,
1703989,接收,16:36:55.193.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 92 00 12 05 32 ,
1703990,接收,16:36:55.193.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 97 00 12 05 32 ,
1703991,接收,16:36:55.209.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 96 00 12 05 32 ,
1703992,接收,16:36:55.224.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 92 00 12 05 32 ,
1703993,接收,16:36:55.224.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8E 00 12 05 32 ,
1703994,接收,16:36:55.240.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 91 00 12 05 32 ,
1703995,接收,16:36:55.240.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 9C 00 12 05 32 ,
1703996,接收,16:36:55.256.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC A3 00 12 05 32 ,
1703997,接收,16:36:55.272.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC A1 00 12 05 32 ,
1703998,接收,16:36:55.272.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 9A 00 12 05 32 ,
1703999,接收,16:36:55.287.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 8F 00 12 05 32 ,
1704000,接收,16:36:55.303.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 83 00 12 05 32 ,
1704001,接收,16:36:55.303.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 78 00 12 05 32 ,
1704002,接收,16:36:55.318.0,0x000003c2,标准帧,数据帧,0x08,7F FF AC 6B 00 12 05 32 ,
