序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1769472,接收,14:43:36.883.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 3F 00 12 05 32 ,
1769473,接收,14:43:36.897.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 3C 00 12 05 32 ,
1769474,接收,14:43:36.913.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 38 00 12 05 32 ,
1769475,接收,14:43:36.913.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 34 00 12 05 32 ,
1769476,接收,14:43:36.927.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 35 00 12 05 32 ,
1769477,接收,14:43:36.943.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 38 00 12 05 32 ,
1769478,接收,14:43:36.943.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 3F 00 12 05 32 ,
1769479,接收,14:43:36.959.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 43 00 12 05 32 ,
1769480,接收,14:43:36.959.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 42 00 12 05 32 ,
1769481,接收,14:43:36.975.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 3B 00 12 05 32 ,
1769482,接收,14:43:36.990.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 30 00 12 05 32 ,
1769483,接收,14:43:36.990.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 28 00 12 05 32 ,
1769484,接收,14:43:37.006.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1F 00 12 05 32 ,
1769485,接收,14:43:37.021.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 16 00 12 05 32 ,
1769486,接收,14:43:37.021.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 13 00 12 05 32 ,
1769487,接收,14:43:37.036.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 17 00 12 05 32 ,
1769488,接收,14:43:37.053.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1E 00 12 05 32 ,
1769489,接收,14:43:37.053.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 23 00 12 05 32 ,
1769490,接收,14:43:37.069.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 20 00 12 05 32 ,
1769491,接收,14:43:37.083.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 15 00 12 05 32 ,
1769492,接收,14:43:37.083.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 10 00 12 05 32 ,
1769493,接收,14:43:37.099.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 13 00 12 05 32 ,
1769494,接收,14:43:37.099.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1C 00 12 05 32 ,
1769495,接收,14:43:37.115.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 21 00 12 05 32 ,
1769496,接收,14:43:37.131.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 23 00 12 05 32 ,
1769497,接收,14:43:37.131.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 24 00 12 05 32 ,
1769498,接收,14:43:37.147.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2C 00 12 05 32 ,
1769499,接收,14:43:37.163.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 33 00 12 05 32 ,
1769500,接收,14:43:37.163.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 33 00 12 05 32 ,
1769501,接收,14:43:37.178.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2B 00 12 05 32 ,
1769502,接收,14:43:37.194.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 20 00 12 05 32 ,
1769503,接收,14:43:37.194.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1A 00 12 05 32 ,
1769504,接收,14:43:37.210.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1A 00 12 05 32 ,
1769505,接收,14:43:37.210.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1B 00 12 05 32 ,
1769506,接收,14:43:37.226.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1C 00 12 05 32 ,
1769507,接收,14:43:37.241.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 19 00 12 05 32 ,
1769508,接收,14:43:37.241.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 17 00 12 05 32 ,
1769509,接收,14:43:37.257.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 16 00 12 05 32 ,
1769510,接收,14:43:37.273.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 16 00 12 05 32 ,
1769511,接收,14:43:37.273.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 18 00 12 05 32 ,
1769512,接收,14:43:37.289.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1F 00 12 05 32 ,
1769513,接收,14:43:37.289.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 27 00 12 05 32 ,
1769514,接收,14:43:37.305.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2E 00 12 05 32 ,
1769515,接收,14:43:37.319.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2B 00 12 05 32 ,
1769516,接收,14:43:37.319.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 23 00 12 05 32 ,
1769517,接收,14:43:37.335.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1B 00 12 05 32 ,
1769518,接收,14:43:37.351.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 15 00 12 05 32 ,
1769519,接收,14:43:37.351.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 17 00 12 05 32 ,
1769520,接收,14:43:37.366.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 1F 00 12 05 32 ,
1769521,接收,14:43:37.382.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 28 00 12 05 32 ,
1769522,接收,14:43:37.382.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2C 00 12 05 32 ,
1769523,接收,14:43:37.398.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2D 00 12 05 32 ,
1769524,接收,14:43:37.398.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2E 00 12 05 32 ,
1769525,接收,14:43:37.414.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2C 00 12 05 32 ,
1769526,接收,14:43:37.430.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 28 00 12 05 32 ,
1769527,接收,14:43:37.430.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 26 00 12 05 32 ,
1769528,接收,14:43:37.446.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2B 00 12 05 32 ,
1769529,接收,14:43:37.462.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 37 00 12 05 32 ,
1769530,接收,14:43:37.462.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 44 00 12 05 32 ,
1769531,接收,14:43:37.477.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 4D 00 12 05 32 ,
1769532,接收,14:43:37.493.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 4F 00 12 05 32 ,
1769533,接收,14:43:37.493.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 49 00 12 05 32 ,
1769534,接收,14:43:37.508.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 3A 00 12 05 32 ,
1769535,接收,14:43:37.508.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 2E 00 12 05 32 ,
1769536,接收,14:43:37.524.0,0x000003c2,标准帧,数据帧,0x08,7F FF AA 27 00 12 05 32 ,
