序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1179648,接收,13:39:21.396.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 90 00 12 05 32 ,
1179649,接收,13:39:21.396.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 94 00 12 05 32 ,
1179650,接收,13:39:21.412.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 97 00 12 05 32 ,
1179651,接收,13:39:21.428.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 98 00 12 05 32 ,
1179652,接收,13:39:21.428.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 95 00 12 05 32 ,
1179653,接收,13:39:21.443.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 92 00 12 05 32 ,
1179654,接收,13:39:21.459.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 93 00 12 05 32 ,
1179655,接收,13:39:21.459.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 97 00 12 05 32 ,
1179656,接收,13:39:21.475.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 99 00 12 05 32 ,
1179657,接收,13:39:21.475.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 93 00 12 05 32 ,
1179658,接收,13:39:21.491.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 86 00 12 05 32 ,
1179659,接收,13:39:21.507.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 83 00 12 05 32 ,
1179660,接收,13:39:21.507.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 88 00 12 05 32 ,
1179661,接收,13:39:21.522.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 94 00 12 05 32 ,
1179662,接收,13:39:21.538.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 99 00 12 05 32 ,
1179663,接收,13:39:21.538.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 94 00 12 05 32 ,
1179664,接收,13:39:21.554.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 91 00 12 05 32 ,
1179665,接收,13:39:21.554.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 8F 00 12 05 32 ,
1179666,接收,13:39:21.570.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 90 00 12 05 32 ,
1179667,接收,13:39:21.585.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 91 00 12 05 32 ,
1179668,接收,13:39:21.585.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 98 00 12 05 32 ,
1179669,接收,13:39:21.602.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 A0 00 12 05 32 ,
1179670,接收,13:39:21.617.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 A2 00 12 05 32 ,
1179671,接收,13:39:21.617.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 9E 00 12 05 32 ,
1179672,接收,13:39:21.632.0,0x000003c2,标准帧,数据帧,0x08,7F FF 81 97 00 12 05 32 ,
