序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
786432,接收,11:45:44.482.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4C 00 12 05 32 ,
786433,接收,11:45:44.497.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 50 00 12 05 32 ,
786434,接收,11:45:44.513.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 54 00 12 05 32 ,
786435,接收,11:45:44.513.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5A 00 12 05 32 ,
786436,接收,11:45:44.529.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 58 00 12 05 32 ,
786437,接收,11:45:44.545.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 59 00 12 05 32 ,
786438,接收,11:45:44.545.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 56 00 12 05 32 ,
786439,接收,11:45:44.560.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4B 00 12 05 32 ,
786440,接收,11:45:44.576.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 3E 00 12 05 32 ,
786441,接收,11:45:44.576.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 39 00 12 05 32 ,
786442,接收,11:45:44.591.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 3B 00 12 05 32 ,
786443,接收,11:45:44.592.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 38 00 12 05 32 ,
786444,接收,11:45:44.607.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 3D 00 12 05 32 ,
786445,接收,11:45:44.622.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 45 00 12 05 32 ,
786446,接收,11:45:44.622.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 55 00 12 05 32 ,
786447,接收,11:45:44.638.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5B 00 12 05 32 ,
786448,接收,11:45:44.654.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 61 00 12 05 32 ,
786449,接收,11:45:44.654.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 62 00 12 05 32 ,
786450,接收,11:45:44.670.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 64 00 12 05 32 ,
786451,接收,11:45:44.685.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 6A 00 12 05 32 ,
786452,接收,11:45:44.685.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 74 00 12 05 32 ,
786453,接收,11:45:44.701.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 80 00 12 05 32 ,
786454,接收,11:45:44.701.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 7C 00 12 05 32 ,
786455,接收,11:45:44.717.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 6D 00 12 05 32 ,
786456,接收,11:45:44.733.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5E 00 12 05 32 ,
786457,接收,11:45:44.733.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 56 00 12 05 32 ,
786458,接收,11:45:44.749.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 54 00 12 05 32 ,
786459,接收,11:45:44.764.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786460,接收,11:45:44.764.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 53 00 12 05 32 ,
786461,接收,11:45:44.779.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 57 00 12 05 32 ,
786462,接收,11:45:44.796.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 62 00 12 05 32 ,
786463,接收,11:45:44.796.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 64 00 12 05 32 ,
786464,接收,11:45:44.812.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 60 00 12 05 32 ,
786465,接收,11:45:44.812.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5A 00 12 05 32 ,
786466,接收,11:45:44.827.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 59 00 12 05 32 ,
786467,接收,11:45:44.844.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 58 00 12 05 32 ,
786468,接收,11:45:44.844.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5B 00 12 05 32 ,
786469,接收,11:45:44.859.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 60 00 12 05 32 ,
786470,接收,11:45:44.875.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 61 00 12 05 32 ,
786471,接收,11:45:44.875.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5F 00 12 05 32 ,
786472,接收,11:45:44.891.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5D 00 12 05 32 ,
786473,接收,11:45:44.891.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5A 00 12 05 32 ,
786474,接收,11:45:44.906.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786475,接收,11:45:44.922.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4B 00 12 05 32 ,
786476,接收,11:45:44.922.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4A 00 12 05 32 ,
786477,接收,11:45:44.938.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4C 00 12 05 32 ,
786478,接收,11:45:44.953.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4B 00 12 05 32 ,
786479,接收,11:45:44.953.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4B 00 12 05 32 ,
786480,接收,11:45:44.969.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786481,接收,11:45:44.985.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 56 00 12 05 32 ,
786482,接收,11:45:44.985.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 57 00 12 05 32 ,
786483,接收,11:45:45.000.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 58 00 12 05 32 ,
786484,接收,11:45:45.000.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5E 00 12 05 32 ,
786485,接收,11:45:45.014.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 60 00 12 05 32 ,
786486,接收,11:45:45.031.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5D 00 12 05 32 ,
786487,接收,11:45:45.031.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5A 00 12 05 32 ,
786488,接收,11:45:45.046.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786489,接收,11:45:45.063.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 43 00 12 05 32 ,
