序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
720896,接收,13:21:08.617.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C4 00 12 05 32 ,
720897,接收,13:21:08.617.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BA 00 12 05 32 ,
720898,接收,13:21:08.632.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B8 00 12 05 32 ,
720899,接收,13:21:08.647.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BA 00 12 05 32 ,
720900,接收,13:21:08.647.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B9 00 12 05 32 ,
720901,接收,13:21:08.663.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BA 00 12 05 32 ,
720902,接收,13:21:08.679.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C1 00 12 05 32 ,
720903,接收,13:21:08.679.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C7 00 12 05 32 ,
720904,接收,13:21:08.695.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BE 00 12 05 32 ,
720905,接收,13:21:08.709.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AD 00 12 05 32 ,
720906,接收,13:21:08.709.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AB 00 12 05 32 ,
720907,接收,13:21:08.725.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B7 00 12 05 32 ,
720908,接收,13:21:08.725.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C6 00 12 05 32 ,
720909,接收,13:21:08.741.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F D2 00 12 05 32 ,
720910,接收,13:21:08.756.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F DE 00 12 05 32 ,
720911,接收,13:21:08.756.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F DC 00 12 05 32 ,
720912,接收,13:21:08.771.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F D3 00 12 05 32 ,
720913,接收,13:21:08.787.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F D2 00 12 05 32 ,
720914,接收,13:21:08.787.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F D5 00 12 05 32 ,
720915,接收,13:21:08.802.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F CD 00 12 05 32 ,
720916,接收,13:21:08.818.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BD 00 12 05 32 ,
720917,接收,13:21:08.818.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B8 00 12 05 32 ,
720918,接收,13:21:08.834.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B8 00 12 05 32 ,
720919,接收,13:21:08.850.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B3 00 12 05 32 ,
720920,接收,13:21:08.850.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B4 00 12 05 32 ,
720921,接收,13:21:08.866.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C0 00 12 05 32 ,
720922,接收,13:21:08.866.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C5 00 12 05 32 ,
