序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1245184,接收,16:59:18.489.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B9 00 12 05 32 ,
1245185,接收,16:59:18.489.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B2 00 12 05 32 ,
1245186,接收,16:59:18.505.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245187,接收,16:59:18.520.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245188,接收,16:59:18.520.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AE 00 12 05 32 ,
1245189,接收,16:59:18.536.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245190,接收,16:59:18.551.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245191,接收,16:59:18.551.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9E 00 12 05 32 ,
1245192,接收,16:59:18.568.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9C 00 12 05 32 ,
1245193,接收,16:59:18.568.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A0 00 12 05 32 ,
1245194,接收,16:59:18.584.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245195,接收,16:59:18.599.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9F 00 12 05 32 ,
1245196,接收,16:59:18.599.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9B 00 12 05 32 ,
1245197,接收,16:59:18.616.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9F 00 12 05 32 ,
1245198,接收,16:59:18.631.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A4 00 12 05 32 ,
1245199,接收,16:59:18.631.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245200,接收,16:59:18.647.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B3 00 12 05 32 ,
1245201,接收,16:59:18.647.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245202,接收,16:59:18.663.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245203,接收,16:59:18.678.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9D 00 12 05 32 ,
1245204,接收,16:59:18.678.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245205,接收,16:59:18.694.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 98 00 12 05 32 ,
1245206,接收,16:59:18.710.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9B 00 12 05 32 ,
1245207,接收,16:59:18.710.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A0 00 12 05 32 ,
1245208,接收,16:59:18.725.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A3 00 12 05 32 ,
1245209,接收,16:59:18.741.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245210,接收,16:59:18.741.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245211,接收,16:59:18.757.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AE 00 12 05 32 ,
1245212,接收,16:59:18.757.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245213,接收,16:59:18.772.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245214,接收,16:59:18.788.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9F 00 12 05 32 ,
1245215,接收,16:59:18.788.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245216,接收,16:59:18.804.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9C 00 12 05 32 ,
1245217,接收,16:59:18.820.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245218,接收,16:59:18.820.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245219,接收,16:59:18.836.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245220,接收,16:59:18.836.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245221,接收,16:59:18.852.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245222,接收,16:59:18.868.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245223,接收,16:59:18.868.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245224,接收,16:59:18.884.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B2 00 12 05 32 ,
1245225,接收,16:59:18.899.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B3 00 12 05 32 ,
1245226,接收,16:59:18.899.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AE 00 12 05 32 ,
1245227,接收,16:59:18.915.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245228,接收,16:59:18.930.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245229,接收,16:59:18.930.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245230,接收,16:59:18.946.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245231,接收,16:59:18.946.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A3 00 12 05 32 ,
1245232,接收,16:59:18.961.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245233,接收,16:59:18.976.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245234,接收,16:59:18.976.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9E 00 12 05 32 ,
1245235,接收,16:59:18.992.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9C 00 12 05 32 ,
1245236,接收,16:59:19.008.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 94 00 12 05 32 ,
1245237,接收,16:59:19.008.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 8D 00 12 05 32 ,
1245238,接收,16:59:19.023.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 8D 00 12 05 32 ,
1245239,接收,16:59:19.039.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 94 00 12 05 32 ,
1245240,接收,16:59:19.039.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245241,接收,16:59:19.055.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245242,接收,16:59:19.071.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AE 00 12 05 32 ,
1245243,接收,16:59:19.071.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245244,接收,16:59:19.086.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245245,接收,16:59:19.086.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245246,接收,16:59:19.101.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A0 00 12 05 32 ,
1245247,接收,16:59:19.117.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245248,接收,16:59:19.117.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245249,接收,16:59:19.133.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9E 00 12 05 32 ,
1245250,接收,16:59:19.148.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245251,接收,16:59:19.148.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245252,接收,16:59:19.163.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 94 00 12 05 32 ,
1245253,接收,16:59:19.179.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 8A 00 12 05 32 ,
1245254,接收,16:59:19.179.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 86 00 12 05 32 ,
1245255,接收,16:59:19.194.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 84 00 12 05 32 ,
1245256,接收,16:59:19.210.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 87 00 12 05 32 ,
1245257,接收,16:59:19.210.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 8B 00 12 05 32 ,
1245258,接收,16:59:19.226.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 94 00 12 05 32 ,
1245259,接收,16:59:19.226.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9B 00 12 05 32 ,
1245260,接收,16:59:19.242.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9A 00 12 05 32 ,
1245261,接收,16:59:19.257.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9D 00 12 05 32 ,
1245262,接收,16:59:19.257.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245263,接收,16:59:19.272.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245264,接收,16:59:19.288.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245265,接收,16:59:19.288.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245266,接收,16:59:19.304.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245267,接收,16:59:19.319.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245268,接收,16:59:19.319.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B2 00 12 05 32 ,
1245269,接收,16:59:19.335.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B7 00 12 05 32 ,
1245270,接收,16:59:19.335.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B2 00 12 05 32 ,
1245271,接收,16:59:19.350.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AA 00 12 05 32 ,
1245272,接收,16:59:19.366.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245273,接收,16:59:19.366.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AE 00 12 05 32 ,
1245274,接收,16:59:19.382.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B0 00 12 05 32 ,
1245275,接收,16:59:19.397.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245276,接收,16:59:19.397.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AE 00 12 05 32 ,
1245277,接收,16:59:19.412.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245278,接收,16:59:19.428.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AA 00 12 05 32 ,
1245279,接收,16:59:19.428.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B1 00 12 05 32 ,
1245280,接收,16:59:19.444.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B7 00 12 05 32 ,
1245281,接收,16:59:19.444.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B6 00 12 05 32 ,
1245282,接收,16:59:19.460.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B0 00 12 05 32 ,
1245283,接收,16:59:19.476.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245284,接收,16:59:19.476.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245285,接收,16:59:19.491.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A4 00 12 05 32 ,
1245286,接收,16:59:19.507.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245287,接收,16:59:19.507.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245288,接收,16:59:19.523.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245289,接收,16:59:19.539.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245290,接收,16:59:19.539.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245291,接收,16:59:19.555.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245292,接收,16:59:19.555.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245293,接收,16:59:19.570.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9B 00 12 05 32 ,
1245294,接收,16:59:19.585.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 97 00 12 05 32 ,
1245295,接收,16:59:19.585.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 95 00 12 05 32 ,
1245296,接收,16:59:19.601.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9B 00 12 05 32 ,
1245297,接收,16:59:19.617.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245298,接收,16:59:19.617.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AA 00 12 05 32 ,
1245299,接收,16:59:19.633.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245300,接收,16:59:19.633.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245301,接收,16:59:19.649.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245302,接收,16:59:19.665.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9F 00 12 05 32 ,
1245303,接收,16:59:19.665.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245304,接收,16:59:19.681.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245305,接收,16:59:19.697.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9A 00 12 05 32 ,
1245306,接收,16:59:19.697.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9A 00 12 05 32 ,
1245307,接收,16:59:19.712.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9E 00 12 05 32 ,
1245308,接收,16:59:19.728.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A0 00 12 05 32 ,
1245309,接收,16:59:19.728.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245310,接收,16:59:19.744.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245311,接收,16:59:19.744.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245312,接收,16:59:19.760.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245313,接收,16:59:19.775.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B4 00 12 05 32 ,
1245314,接收,16:59:19.775.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B8 00 12 05 32 ,
1245315,接收,16:59:19.791.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B7 00 12 05 32 ,
1245316,接收,16:59:19.806.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B7 00 12 05 32 ,
1245317,接收,16:59:19.806.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B5 00 12 05 32 ,
1245318,接收,16:59:19.822.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245319,接收,16:59:19.838.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A8 00 12 05 32 ,
1245320,接收,16:59:19.838.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245321,接收,16:59:19.854.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245322,接收,16:59:19.854.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9E 00 12 05 32 ,
1245323,接收,16:59:19.869.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245324,接收,16:59:19.884.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 97 00 12 05 32 ,
1245325,接收,16:59:19.884.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 99 00 12 05 32 ,
1245326,接收,16:59:19.900.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9F 00 12 05 32 ,
1245327,接收,16:59:19.917.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245328,接收,16:59:19.917.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A8 00 12 05 32 ,
1245329,接收,16:59:19.932.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245330,接收,16:59:19.932.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245331,接收,16:59:19.948.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B9 00 12 05 32 ,
1245332,接收,16:59:19.963.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BD 00 12 05 32 ,
1245333,接收,16:59:19.963.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BD 00 12 05 32 ,
1245334,接收,16:59:19.979.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BB 00 12 05 32 ,
1245335,接收,16:59:19.995.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B5 00 12 05 32 ,
1245336,接收,16:59:19.995.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B0 00 12 05 32 ,
1245337,接收,16:59:20.010.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B3 00 12 05 32 ,
1245338,接收,16:59:20.026.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BB 00 12 05 32 ,
1245339,接收,16:59:20.026.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BF 00 12 05 32 ,
1245340,接收,16:59:20.042.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C1 00 12 05 32 ,
1245341,接收,16:59:20.057.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C3 00 12 05 32 ,
1245342,接收,16:59:20.057.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C1 00 12 05 32 ,
1245343,接收,16:59:20.072.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BE 00 12 05 32 ,
1245344,接收,16:59:20.072.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BE 00 12 05 32 ,
1245345,接收,16:59:20.088.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BA 00 12 05 32 ,
1245346,接收,16:59:20.103.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B3 00 12 05 32 ,
1245347,接收,16:59:20.103.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245348,接收,16:59:20.120.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245349,接收,16:59:20.135.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245350,接收,16:59:20.135.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A2 00 12 05 32 ,
1245351,接收,16:59:20.151.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A4 00 12 05 32 ,
1245352,接收,16:59:20.151.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245353,接收,16:59:20.166.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B1 00 12 05 32 ,
1245354,接收,16:59:20.182.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BB 00 12 05 32 ,
1245355,接收,16:59:20.182.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 CA 00 12 05 32 ,
1245356,接收,16:59:20.198.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 D4 00 12 05 32 ,
1245357,接收,16:59:20.213.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 D4 00 12 05 32 ,
1245358,接收,16:59:20.213.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 CF 00 12 05 32 ,
1245359,接收,16:59:20.229.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C5 00 12 05 32 ,
1245360,接收,16:59:20.245.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B7 00 12 05 32 ,
1245361,接收,16:59:20.245.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B5 00 12 05 32 ,
1245362,接收,16:59:20.261.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BB 00 12 05 32 ,
1245363,接收,16:59:20.262.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BE 00 12 05 32 ,
1245364,接收,16:59:20.276.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C1 00 12 05 32 ,
1245365,接收,16:59:20.291.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C7 00 12 05 32 ,
1245366,接收,16:59:20.291.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 CC 00 12 05 32 ,
1245367,接收,16:59:20.307.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 D0 00 12 05 32 ,
1245368,接收,16:59:20.323.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 D0 00 12 05 32 ,
1245369,接收,16:59:20.323.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C6 00 12 05 32 ,
1245370,接收,16:59:20.338.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B8 00 12 05 32 ,
1245371,接收,16:59:20.354.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245372,接收,16:59:20.354.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AF 00 12 05 32 ,
1245373,接收,16:59:20.370.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245374,接收,16:59:20.386.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245375,接收,16:59:20.386.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AA 00 12 05 32 ,
1245376,接收,16:59:20.401.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AB 00 12 05 32 ,
1245377,接收,16:59:20.401.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A8 00 12 05 32 ,
1245378,接收,16:59:20.418.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A8 00 12 05 32 ,
1245379,接收,16:59:20.434.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245380,接收,16:59:20.434.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245381,接收,16:59:20.450.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245382,接收,16:59:20.466.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245383,接收,16:59:20.466.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A7 00 12 05 32 ,
1245384,接收,16:59:20.481.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A9 00 12 05 32 ,
1245385,接收,16:59:20.481.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AD 00 12 05 32 ,
1245386,接收,16:59:20.497.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AA 00 12 05 32 ,
1245387,接收,16:59:20.512.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9D 00 12 05 32 ,
1245388,接收,16:59:20.512.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 94 00 12 05 32 ,
1245389,接收,16:59:20.529.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 95 00 12 05 32 ,
1245390,接收,16:59:20.545.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 95 00 12 05 32 ,
1245391,接收,16:59:20.545.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 96 00 12 05 32 ,
1245392,接收,16:59:20.560.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 9B 00 12 05 32 ,
1245393,接收,16:59:20.560.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245394,接收,16:59:20.576.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245395,接收,16:59:20.592.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245396,接收,16:59:20.592.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A5 00 12 05 32 ,
1245397,接收,16:59:20.608.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245398,接收,16:59:20.624.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A1 00 12 05 32 ,
1245399,接收,16:59:20.624.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
1245400,接收,16:59:20.640.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B0 00 12 05 32 ,
1245401,接收,16:59:20.640.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B9 00 12 05 32 ,
1245402,接收,16:59:20.655.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C1 00 12 05 32 ,
1245403,接收,16:59:20.671.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 CA 00 12 05 32 ,
1245404,接收,16:59:20.671.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 C7 00 12 05 32 ,
1245405,接收,16:59:20.687.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BF 00 12 05 32 ,
1245406,接收,16:59:20.703.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BB 00 12 05 32 ,
1245407,接收,16:59:20.703.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 BC 00 12 05 32 ,
1245408,接收,16:59:20.719.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B8 00 12 05 32 ,
1245409,接收,16:59:20.719.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B6 00 12 05 32 ,
1245410,接收,16:59:20.735.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B6 00 12 05 32 ,
1245411,接收,16:59:20.751.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B5 00 12 05 32 ,
1245412,接收,16:59:20.751.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B5 00 12 05 32 ,
1245413,接收,16:59:20.767.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B4 00 12 05 32 ,
1245414,接收,16:59:20.783.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B4 00 12 05 32 ,
1245415,接收,16:59:20.783.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 B0 00 12 05 32 ,
1245416,接收,16:59:20.799.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245417,接收,16:59:20.799.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AC 00 12 05 32 ,
1245418,接收,16:59:20.815.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 AA 00 12 05 32 ,
1245419,接收,16:59:20.830.0,0x000003c2,标准帧,数据帧,0x08,80 00 70 A6 00 12 05 32 ,
