序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
3407872,接收,19:55:49.561.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7D 00 12 05 32 ,
3407873,接收,19:55:49.561.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A6 00 12 05 32 ,
3407874,接收,19:55:49.576.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B2 00 12 05 32 ,
3407875,接收,19:55:49.592.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 C8 00 12 05 32 ,
3407876,接收,19:55:49.592.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 E1 00 12 05 32 ,
3407877,接收,19:55:49.607.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CC 00 12 05 32 ,
3407878,接收,19:55:49.624.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8F 00 12 05 32 ,
3407879,接收,19:55:49.624.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6D 00 12 05 32 ,
3407880,接收,19:55:49.639.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 68 00 12 05 32 ,
3407881,接收,19:55:49.639.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 68 00 12 05 32 ,
3407882,接收,19:55:49.656.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 4D 00 12 05 32 ,
3407883,接收,19:55:49.670.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 34 00 12 05 32 ,
3407884,接收,19:55:49.670.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 33 00 12 05 32 ,
3407885,接收,19:55:49.686.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 34 00 12 05 32 ,
3407886,接收,19:55:49.703.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 2D 00 12 05 32 ,
3407887,接收,19:55:49.703.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 35 00 12 05 32 ,
